Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Influenza,States,Washington,2012,Age,≥18 Years,60.9,56.8 to 64.9,942
Influenza,States,West Virginia,2012,Age,≥18 Years,43.4,39.5 to 47.3,1092
Influenza,States,Wisconsin,2012,Age,≥18 Years,58.6,54.4 to 62.7,1402
Influenza,States,Wyoming,2012,Age,≥18 Years,39.1,34.3 to 44.1,618
Influenza,States,Alabama,2020,Age,≥18 Years,49.6,45.6 to 53.6,619
Influenza,States,Alaska,2020,Age,≥18 Years,64.0,60.4 to 67.5,980
Influenza,States,Arizona,2020,Age,≥18 Years,57.3,53.7 to 60.9,777
Influenza,States,Arkansas,2020,Age,≥18 Years,58.2,53.0 to 63.2,887
Influenza,States,Colorado,2020,Age,≥18 Years,74.7,71.6 to 77.7,1034
Influenza,States,Connecticut,2020,Age,≥18 Years,73.5,70.4 to 76.4,1337
Influenza,States,Delaware,2020,Age,≥18 Years,62.9,59.2 to 66.5,825
Influenza,States,District of Columbia,2020,Age,≥18 Years,73.1,68.7 to 77.2,533
Influenza,States,Florida,2020,Age,≥18 Years,41.3,37.5 to 45.2,1059
Influenza,States,Georgia,2020,Age,≥18 Years,40.9,36.1 to 45.9,671
Influenza,States,Hawaii,2020,Age,≥18 Years,68.7,65.4 to 71.9,1185
Influenza,States,Illinois,2020,Age,≥18 Years,65.1,62.0 to 68.1,1188
Influenza,States,Iowa,2020,Age,≥18 Years,77.1,72.8 to 81.0,694
Influenza,States,Kansas,2020,Age,≥18 Years,71.2,67.8 to 74.5,1138
Influenza,States,Kentucky,2020,Age,≥18 Years,53.7,49.0 to 58.4,784
Influenza,States,Louisiana,2020,Age,≥18 Years,53.0,49.0 to 57.0,667
Influenza,States,Maine,2020,Age,≥18 Years,72.4,68.8 to 75.8,870
Influenza,States,Maryland,2020,Age,≥18 Years,70.5,66.6 to 74.1,971
Influenza,States,Massachusetts,2020,Age,≥18 Years,79.8,76.8 to 82.6,1356
Influenza,States,Michigan,2020,Age,≥18 Years,58.4,55.2 to 61.6,1346
Influenza,States,Minnesota,2020,Age,≥18 Years,68.2,62.7 to 73.3,612
Influenza,States,Mississippi,2020,Age,≥18 Years,48.1,43.9 to 52.3,954
Influenza,States,Missouri,2020,Age,≥18 Years,64.8,61.2 to 68.3,948
Influenza,States,Montana,2020,Age,≥18 Years,68.5,64.4 to 72.4,683
Influenza,States,Nebraska,2020,Age,≥18 Years,76.0,72.8 to 79.0,1435
Influenza,States,New Hampshire,2020,Age,≥18 Years,75.0,70.6 to 79.1,638
Influenza,States,New Jersey,2020,Age,≥18 Years,60.8,57.5 to 64.0,1065
Influenza,States,New Mexico,2020,Age,≥18 Years,67.6,64.5 to 70.6,1011
Influenza,States,NY-City of New York,2020,Age,≥18 Years,65.0,61.7 to 68.2,1159
Influenza,States,North Dakota,2020,Age,≥18 Years,74.1,69.9 to 78.0,753
Influenza,States,Oregon,2020,Age,≥18 Years,67.1,63.3 to 70.7,1603
Influenza,States,Pennsylvania,2020,Age,≥18 Years,64.5,61.3 to 67.6,1183
Influenza,States,Puerto Rico,2020,Age,≥18 Years,34.8,31.0 to 38.8,827
Influenza,National,United States,2020,Age,≥18 Years,61.1,60.3 to 61.9,40339
Influenza,States,South Dakota,2020,Age,≥18 Years,76.1,72.9 to 79.1,946
Influenza,States,Tennessee,2020,Age,≥18 Years,54.9,49.3 to 60.4,598
Influenza,States,Utah,2020,Age,≥18 Years,68.2,65.2 to 71.1,1396
Influenza,States,Vermont,2020,Age,≥18 Years,67.2,63.7 to 70.6,790
Influenza,States,Virginia,2020,Age,≥18 Years,64.4,59.3 to 69.3,924
Influenza,States,Washington,2020,Age,≥18 Years,74.0,70.8 to 77.1,1214
Influenza,States,West Virginia,2020,Age,≥18 Years,64.7,59.7 to 69.5,576
Influenza,States,Wisconsin,2020,Age,≥18 Years,70.7,67.2 to 74.0,1653
Influenza,States,Wyoming,2020,Age,≥18 Years,63.3,57.4 to 68.9,450
Influenza,States,Alaska,2012,Age,18-24 Years,48.9,41.8 to 56.1,267
Influenza,States,Arkansas,2012,Age,18-24 Years,39.0,30.2 to 48.4,333
Influenza,States,Colorado,2012,Age,18-24 Years,51.3,42.6 to 60.0,276
Influenza,States,Delaware,2012,Age,18-24 Years,33.4,27.8 to 39.3,288
Influenza,States,Georgia,2012,Age,18-24 Years,27.6,21.2 to 34.8,405
Influenza,States,Hawaii,2012,Age,18-24 Years,38.5,31.7 to 45.6,340
Influenza,States,Illinois,2012,Age,18-24 Years,42.5,35.3 to 50.0,235
Influenza,States,Maine,2012,Age,18-24 Years,49.0,40.6 to 57.5,202
Influenza,States,Maryland,2012,Age,18-24 Years,41.0,32.8 to 49.6,206
Influenza,States,Massachusetts,2012,Age,18-24 Years,51.0,42.1 to 59.9,258
Influenza,States,Michigan,2012,Age,18-24 Years,37.0,31.4 to 42.8,684
Influenza,States,Minnesota,2012,Age,18-24 Years,59.4,51.0 to 67.4,200
Influenza,States,Missouri,2012,Age,18-24 Years,32.6,26.3 to 39.4,277
Influenza,States,Nebraska,2012,Age,18-24 Years,51.6,44.6 to 58.5,321
Influenza,States,New Jersey,2012,Age,18-24 Years,30.7,23.3 to 38.9,179
Influenza,States,New Mexico,2012,Age,18-24 Years,50.6,44.8 to 56.3,352
Influenza,States,NY-City of New York,2012,Age,18-24 Years,29.5,23.4 to 36.1,306
Influenza,States,Ohio,2012,Age,18-24 Years,32.6,27.2 to 38.4,395
Influenza,States,Oklahoma,2012,Age,18-24 Years,38.6,31.6 to 46.0,584
Influenza,States,Oregon,2012,Age,18-24 Years,50.0,38.5 to 61.5,171
Influenza,States,Pennsylvania,2012,Age,18-24 Years,38.1,29.9 to 46.9,171
Influenza,National,United States,2012,Age,18-24 Years,39.8,38.2 to 41.4,8987
Influenza,States,Rhode Island,2012,Age,18-24 Years,56.7,50.0 to 63.2,248
Influenza,States,Tennessee,2012,Age,18-24 Years,38.9,31.3 to 47.0,246
Influenza,States,Utah,2012,Age,18-24 Years,41.9,36.3 to 47.6,438
Influenza,States,Vermont,2012,Age,18-24 Years,51.7,45.3 to 58.0,252
Influenza,States,Washington,2012,Age,18-24 Years,53.2,43.6 to 62.6,217
Influenza,States,West Virginia,2012,Age,18-24 Years,39.7,33.7 to 45.9,457
Influenza,States,Wisconsin,2012,Age,18-24 Years,52.4,44.1 to 60.6,488
Influenza,States,Wyoming,2012,Age,18-24 Years,32.0,23.8 to 41.1,191
Influenza,States,Alabama,2020,Age,18-24 Years,40.5,32.5 to 48.9,149
Influenza,States,Alaska,2020,Age,18-24 Years,66.8,59.2 to 73.8,232
Influenza,States,Arizona,2020,Age,18-24 Years,51.0,43.1 to 58.9,170
Influenza,States,Arkansas,2020,Age,18-24 Years,56.4,47.2 to 65.3,318
Influenza,States,Colorado,2020,Age,18-24 Years,67.8,59.5 to 75.3,193
Influenza,States,Connecticut,2020,Age,18-24 Years,63.5,55.1 to 71.3,232
Influenza,States,Delaware,2020,Age,18-24 Years,51.1,41.9 to 60.3,140
Influenza,States,District of Columbia,2020,Age,18-24 Years,49.7,37.5 to 61.9,88
Influenza,States,Florida,2020,Age,18-24 Years,25.9,18.9 to 33.9,217
Influenza,States,Georgia,2020,Age,18-24 Years,29.9,21.3 to 39.7,169
Influenza,States,Hawaii,2020,Age,18-24 Years,72.5,64.5 to 79.5,196
Influenza,States,Illinois,2020,Age,18-24 Years,50.3,42.6 to 57.9,214
Influenza,States,Iowa,2020,Age,18-24 Years,73.3,61.0 to 83.4,122
Influenza,States,Kansas,2020,Age,18-24 Years,65.0,57.4 to 72.1,271
Influenza,States,Kentucky,2020,Age,18-24 Years,43.9,35.4 to 52.6,252
Influenza,States,Louisiana,2020,Age,18-24 Years,40.4,32.8 to 48.3,177
Influenza,States,Maine,2020,Age,18-24 Years,69.5,59.3 to 78.4,130
Influenza,States,Maryland,2020,Age,18-24 Years,58.3,46.4 to 69.5,130
Influenza,States,Massachusetts,2020,Age,18-24 Years,67.0,53.9 to 78.4,126
Influenza,States,Michigan,2020,Age,18-24 Years,45.1,38.0 to 52.4,313
Influenza,States,Minnesota,2020,Age,18-24 Years,NR*,NR*,108
Influenza,States,Mississippi,2020,Age,18-24 Years,37.3,30.3 to 44.7,348
Influenza,States,Missouri,2020,Age,18-24 Years,60.1,52.1 to 67.7,215
Influenza,States,Montana,2020,Age,18-24 Years,66.8,57.4 to 75.3,176
Influenza,States,Nebraska,2020,Age,18-24 Years,70.5,62.2 to 77.9,308
Influenza,States,New Hampshire,2020,Age,18-24 Years,65.3,51.7 to 77.3,78
Influenza,States,New Jersey,2020,Age,18-24 Years,55.2,46.2 to 63.9,148
Influenza,States,New Mexico,2020,Age,18-24 Years,65.6,59.2 to 71.6,240
Influenza,States,NY-City of New York,2020,Age,18-24 Years,58.0,48.6 to 67.0,153
Influenza,States,North Dakota,2020,Age,18-24 Years,69.9,59.5 to 79.0,193
Influenza,States,Oregon,2020,Age,18-24 Years,62.8,54.2 to 70.9,354
Influenza,States,Pennsylvania,2020,Age,18-24 Years,53.7,45.6 to 61.7,200
Influenza,States,Puerto Rico,2020,Age,18-24 Years,38.3,31.6 to 45.3,298
Influenza,National,United States,2020,Age,18-24 Years,50.2,48.5 to 51.9,8453
Influenza,States,South Dakota,2020,Age,18-24 Years,75.0,67.7 to 81.4,222
Influenza,States,Tennessee,2020,Age,18-24 Years,38.3,27.8 to 49.7,147
Influenza,States,Utah,2020,Age,18-24 Years,65.2,59.0 to 71.0,357
Influenza,States,Vermont,2020,Age,18-24 Years,51.3,40.3 to 62.2,93
Influenza,States,Virginia,2020,Age,18-24 Years,51.5,38.7 to 64.2,131
Influenza,States,Washington,2020,Age,18-24 Years,70.2,60.7 to 78.6,190
Influenza,States,West Virginia,2020,Age,18-24 Years,59.1,49.7 to 68.1,166
Influenza,States,Wisconsin,2020,Age,18-24 Years,58.7,50.3 to 66.7,365
Influenza,States,Wyoming,2020,Age,18-24 Years,61.7,49.8 to 72.7,124
Influenza,States,Alaska,2012,Age,25-34 Years,48.3,43.0 to 53.6,474
Influenza,States,Arkansas,2012,Age,25-34 Years,53.0,44.4 to 61.5,357
Influenza,States,Colorado,2012,Age,25-34 Years,55.2,50.0 to 60.3,680
Influenza,States,Delaware,2012,Age,25-34 Years,46.9,42.5 to 51.3,536
Influenza,States,Georgia,2012,Age,25-34 Years,35.7,30.2 to 41.5,469
Influenza,States,Hawaii,2012,Age,25-34 Years,42.6,38.1 to 47.1,779
Influenza,States,Illinois,2012,Age,25-34 Years,48.5,44.1 to 52.9,606
Influenza,States,Maine,2012,Age,25-34 Years,53.1,47.0 to 59.1,372
Influenza,States,Maryland,2012,Age,25-34 Years,49.9,44.7 to 55.1,533
Influenza,States,Massachusetts,2012,Age,25-34 Years,69.9,65.5 to 74.0,886
Influenza,States,Michigan,2012,Age,25-34 Years,45.4,41.2 to 49.6,960
Influenza,States,Minnesota,2012,Age,25-34 Years,66.4,62.1 to 70.5,577
Influenza,States,Missouri,2012,Age,25-34 Years,51.8,46.5 to 57.0,458
Influenza,States,Nebraska,2012,Age,25-34 Years,60.7,55.9 to 65.3,623
Influenza,States,New Jersey,2012,Age,25-34 Years,40.1,35.9 to 44.5,640
Influenza,States,New Mexico,2012,Age,25-34 Years,48.7,43.5 to 53.9,465
Influenza,States,NY-City of New York,2012,Age,25-34 Years,37.7,33.4 to 42.1,741
Influenza,States,Ohio,2012,Age,25-34 Years,44.4,40.5 to 48.4,995
Influenza,States,Oklahoma,2012,Age,25-34 Years,46.7,41.3 to 52.2,981
Influenza,States,Oregon,2012,Age,25-34 Years,54.7,47.6 to 61.7,410
Influenza,States,Pennsylvania,2012,Age,25-34 Years,50.0,44.8 to 55.2,474
Influenza,National,United States,2012,Age,25-34 Years,49.8,48.7 to 50.9,17745
Influenza,States,Rhode Island,2012,Age,25-34 Years,61.4,57.4 to 65.3,681
Influenza,States,Tennessee,2012,Age,25-34 Years,45.2,39.5 to 51.0,447
Influenza,States,Utah,2012,Age,25-34 Years,53.1,49.0 to 57.2,851
Influenza,States,Vermont,2012,Age,25-34 Years,58.5,54.2 to 62.7,538
Influenza,States,Washington,2012,Age,25-34 Years,64.9,59.6 to 69.9,552
Influenza,States,West Virginia,2012,Age,25-34 Years,45.4,40.0 to 50.9,542
Influenza,States,Wisconsin,2012,Age,25-34 Years,57.9,52.4 to 63.2,739
Influenza,States,Wyoming,2012,Age,25-34 Years,42.6,36.4 to 49.0,379
Influenza,States,Alabama,2020,Age,25-34 Years,53.4,48.2 to 58.6,372
Influenza,States,Alaska,2020,Age,25-34 Years,62.7,57.9 to 67.3,564
Influenza,States,Arizona,2020,Age,25-34 Years,58.6,53.7 to 63.4,438
Influenza,States,Arkansas,2020,Age,25-34 Years,57.8,50.5 to 64.8,465
Influenza,States,Colorado,2020,Age,25-34 Years,74.6,70.5 to 78.4,628
Influenza,States,Connecticut,2020,Age,25-34 Years,74.8,70.8 to 78.5,770
Influenza,States,Delaware,2020,Age,25-34 Years,64.2,59.4 to 68.8,505
Influenza,States,District of Columbia,2020,Age,25-34 Years,67.4,60.7 to 73.6,265
Influenza,States,Florida,2020,Age,25-34 Years,42.9,37.8 to 48.1,616
Influenza,States,Georgia,2020,Age,25-34 Years,42.8,36.4 to 49.4,386
Influenza,States,Hawaii,2020,Age,25-34 Years,66.1,61.3 to 70.6,671
Influenza,States,Illinois,2020,Age,25-34 Years,67.2,63.2 to 71.0,710
Influenza,States,Iowa,2020,Age,25-34 Years,77.1,71.8 to 81.8,453
Influenza,States,Kansas,2020,Age,25-34 Years,72.6,68.3 to 76.6,704
Influenza,States,Kentucky,2020,Age,25-34 Years,57.4,51.0 to 63.6,418
Influenza,States,Louisiana,2020,Age,25-34 Years,57.1,51.9 to 62.2,393
Influenza,States,Maine,2020,Age,25-34 Years,72.2,67.6 to 76.5,542
Influenza,States,Maryland,2020,Age,25-34 Years,74.6,69.8 to 79.0,551
Influenza,States,Massachusetts,2020,Age,25-34 Years,79.1,75.1 to 82.7,815
Influenza,States,Michigan,2020,Age,25-34 Years,61.6,57.6 to 65.5,842
Influenza,States,Minnesota,2020,Age,25-34 Years,68.6,62.0 to 74.7,393
Influenza,States,Mississippi,2020,Age,25-34 Years,53.1,47.4 to 58.7,499
Influenza,States,Missouri,2020,Age,25-34 Years,65.9,61.3 to 70.3,572
Influenza,States,Montana,2020,Age,25-34 Years,69.8,64.4 to 74.8,389
Influenza,States,Nebraska,2020,Age,25-34 Years,77.9,74.0 to 81.5,890
Influenza,States,New Hampshire,2020,Age,25-34 Years,76.8,71.3 to 81.7,399
Influenza,States,New Jersey,2020,Age,25-34 Years,58.6,54.2 to 62.9,622
Influenza,States,New Mexico,2020,Age,25-34 Years,68.4,64.3 to 72.3,602
Influenza,States,NY-City of New York,2020,Age,25-34 Years,67.1,62.7 to 71.3,653
Influenza,States,North Dakota,2020,Age,25-34 Years,74.7,69.5 to 79.4,457
Influenza,States,Oregon,2020,Age,25-34 Years,65.3,60.2 to 70.1,910
Influenza,States,Pennsylvania,2020,Age,25-34 Years,67.5,63.5 to 71.4,729
Influenza,States,Puerto Rico,2020,Age,25-34 Years,31.2,26.1 to 36.7,421
Influenza,National,United States,2020,Age,25-34 Years,62.9,61.9 to 63.9,23767
Influenza,States,South Dakota,2020,Age,25-34 Years,75.6,71.5 to 79.4,606
Influenza,States,Tennessee,2020,Age,25-34 Years,58.2,50.6 to 65.5,332
Influenza,States,Utah,2020,Age,25-34 Years,69.4,65.6 to 73.0,826
Influenza,States,Vermont,2020,Age,25-34 Years,67.8,63.5 to 71.9,500
Influenza,States,Virginia,2020,Age,25-34 Years,68.4,61.5 to 74.7,548
Influenza,States,Washington,2020,Age,25-34 Years,73.2,68.9 to 77.2,722
Influenza,States,West Virginia,2020,Age,25-34 Years,66.1,59.4 to 72.3,333
Influenza,States,Wisconsin,2020,Age,25-34 Years,73.8,69.4 to 77.9,1011
Influenza,States,Wyoming,2020,Age,25-34 Years,64.0,56.2 to 71.3,245
Influenza,States,Alaska,2012,Age,≥35 Years,54.9,43.6 to 65.8,111
Influenza,States,Arkansas,2012,Age,≥35 Years,NR*,NR*,66
Influenza,States,Colorado,2012,Age,≥35 Years,65.5,56.1 to 74.1,214
Influenza,States,Delaware,2012,Age,≥35 Years,39.4,31.4 to 47.8,157
Influenza,States,Georgia,2012,Age,≥35 Years,37.4,27.1 to 48.6,133
Influenza,States,Hawaii,2012,Age,≥35 Years,44.7,36.9 to 52.7,266
Influenza,States,Illinois,2012,Age,≥35 Years,60.0,52.2 to 67.5,196
Influenza,States,Maine,2012,Age,≥35 Years,62.7,49.0 to 75.1,80
Influenza,States,Maryland,2012,Age,≥35 Years,50.5,40.8 to 60.2,167
Influenza,States,Massachusetts,2012,Age,≥35 Years,68.1,60.8 to 74.8,312
Influenza,States,Michigan,2012,Age,≥35 Years,45.1,36.6 to 53.9,235
Influenza,States,Minnesota,2012,Age,≥35 Years,72.9,63.8 to 80.8,129
Influenza,States,Missouri,2012,Age,≥35 Years,54.1,41.4 to 66.4,81
Influenza,States,Nebraska,2012,Age,≥35 Years,66.8,55.4 to 76.9,124
Influenza,States,New Jersey,2012,Age,≥35 Years,40.7,33.2 to 48.6,202
Influenza,States,New Mexico,2012,Age,≥35 Years,46.2,34.8 to 57.9,98
Influenza,States,NY-City of New York,2012,Age,≥35 Years,45.6,39.2 to 52.2,389
Influenza,States,Ohio,2012,Age,≥35 Years,32.0,24.6 to 40.1,217
Influenza,States,Oklahoma,2012,Age,≥35 Years,44.1,31.1 to 57.8,182
Influenza,States,Oregon,2012,Age,≥35 Years,57.9,44.8 to 70.2,131
Influenza,States,Pennsylvania,2012,Age,≥35 Years,52.1,41.3 to 62.7,126
Influenza,National,United States,2012,Age,≥35 Years,51.8,49.7 to 53.9,4775
Influenza,States,Rhode Island,2012,Age,≥35 Years,62.5,55.3 to 69.3,212
Influenza,States,Tennessee,2012,Age,≥35 Years,54.3,40.6 to 67.5,99
Influenza,States,Utah,2012,Age,≥35 Years,43.4,34.5 to 52.6,194
Influenza,States,Vermont,2012,Age,≥35 Years,64.1,56.3 to 71.4,165
Influenza,States,Washington,2012,Age,≥35 Years,57.2,47.7 to 66.4,173
Influenza,States,West Virginia,2012,Age,≥35 Years,49.0,34.6 to 63.5,93
Influenza,States,Wisconsin,2012,Age,≥35 Years,70.5,59.7 to 79.8,175
Influenza,States,Wyoming,2012,Age,≥35 Years,NR*,NR*,48
Influenza,States,Alabama,2020,Age,≥35 Years,51.8,41.5 to 62.0,98
Influenza,States,Alaska,2020,Age,≥35 Years,64.7,56.0 to 72.8,184
Influenza,States,Arizona,2020,Age,≥35 Years,61.0,53.1 to 68.5,169
Influenza,States,Arkansas,2020,Age,≥35 Years,64.0,50.1 to 76.3,104
Influenza,States,Colorado,2020,Age,≥35 Years,82.0,75.6 to 87.3,213
Influenza,States,Connecticut,2020,Age,≥35 Years,76.4,70.2 to 81.9,335
Influenza,States,Delaware,2020,Age,≥35 Years,71.1,63.5 to 77.9,180
Influenza,States,District of Columbia,2020,Age,≥35 Years,90.8,85.2 to 94.8,180
Influenza,States,Florida,2020,Age,≥35 Years,50.9,42.2 to 59.5,226
Influenza,States,Georgia,2020,Age,≥35 Years,50.8,38.0 to 63.5,116
Influenza,States,Hawaii,2020,Age,≥35 Years,71.6,65.2 to 77.4,318
Influenza,States,Illinois,2020,Age,≥35 Years,72.1,65.5 to 78.1,264
Influenza,States,Iowa,2020,Age,≥35 Years,81.7,70.3 to 90.1,119
Influenza,States,Kansas,2020,Age,≥35 Years,77.6,68.0 to 85.5,163
Influenza,States,Kentucky,2020,Age,≥35 Years,59.8,46.6 to 72.0,114
Influenza,States,Louisiana,2020,Age,≥35 Years,61.4,50.7 to 71.3,97
Influenza,States,Maine,2020,Age,≥35 Years,75.1,67.5 to 81.7,198
Influenza,States,Maryland,2020,Age,≥35 Years,69.6,62.2 to 76.4,290
Influenza,States,Massachusetts,2020,Age,≥35 Years,85.8,81.4 to 89.5,415
Influenza,States,Michigan,2020,Age,≥35 Years,63.8,55.0 to 71.9,191
Influenza,States,Minnesota,2020,Age,≥35 Years,72.4,59.4 to 83.1,111
Influenza,States,Mississippi,2020,Age,≥35 Years,57.6,44.3 to 70.1,107
Influenza,States,Missouri,2020,Age,≥35 Years,67.5,58.6 to 75.6,161
Influenza,States,Montana,2020,Age,≥35 Years,66.7,56.5 to 75.8,118
Influenza,States,Nebraska,2020,Age,≥35 Years,75.9,67.2 to 83.2,237
Influenza,States,New Hampshire,2020,Age,≥35 Years,77.7,68.5 to 85.3,161
Influenza,States,New Jersey,2020,Age,≥35 Years,68.2,62.1 to 73.9,295
Influenza,States,New Mexico,2020,Age,≥35 Years,68.8,60.7 to 76.2,169
Influenza,States,NY-City of New York,2020,Age,≥35 Years,64.7,58.3 to 70.7,353
Influenza,States,North Dakota,2020,Age,≥35 Years,77.2,65.7 to 86.3,103
Influenza,States,Oregon,2020,Age,≥35 Years,76.4,68.3 to 83.3,339
Influenza,States,Pennsylvania,2020,Age,≥35 Years,65.4,58.1 to 72.2,254
Influenza,States,Puerto Rico,2020,Age,≥35 Years,38.5,28.0 to 49.8,108
Influenza,National,United States,2020,Age,≥35 Years,67.0,65.3 to 68.7,8119
Influenza,States,South Dakota,2020,Age,≥35 Years,80.5,71.9 to 87.4,118
Influenza,States,Tennessee,2020,Age,≥35 Years,66.9,54.2 to 78.0,119
Influenza,States,Utah,2020,Age,≥35 Years,67.6,59.6 to 74.9,213
Influenza,States,Vermont,2020,Age,≥35 Years,76.9,70.3 to 82.6,197
Influenza,States,Virginia,2020,Age,≥35 Years,66.1,56.0 to 75.2,245
Influenza,States,Washington,2020,Age,≥35 Years,78.5,72.3 to 83.9,302
Influenza,States,West Virginia,2020,Age,≥35 Years,72.1,57.9 to 83.6,77
Influenza,States,Wisconsin,2020,Age,≥35 Years,70.0,60.8 to 78.1,277
Influenza,States,Wyoming,2020,Age,≥35 Years,NR*,NR*,81
Influenza,States,Alaska,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Arkansas,2012,Race/Ethnicity ,"Black, Non-Hispanic",40.5,26.3 to 56.0,247
Influenza,States,Colorado,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,30
Influenza,States,Delaware,2012,Race/Ethnicity ,"Black, Non-Hispanic",28.3,22.3 to 35.0,230
Influenza,States,Georgia,2012,Race/Ethnicity ,"Black, Non-Hispanic",20.3,14.7 to 26.9,367
Influenza,States,Hawaii,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Illinois,2012,Race/Ethnicity ,"Black, Non-Hispanic",37.5,27.3 to 48.6,115
Influenza,States,Maine,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Maryland,2012,Race/Ethnicity ,"Black, Non-Hispanic",39.6,32.1 to 47.5,270
Influenza,States,Massachusetts,2012,Race/Ethnicity ,"Black, Non-Hispanic",57.8,49.5 to 65.8,273
Influenza,States,Michigan,2012,Race/Ethnicity ,"Black, Non-Hispanic",33.8,30.3 to 37.5,932
Influenza,States,Minnesota,2012,Race/Ethnicity ,"Black, Non-Hispanic",60.2,48.1 to 71.4,76
Influenza,States,Missouri,2012,Race/Ethnicity ,"Black, Non-Hispanic",35.3,25.0 to 46.7,121
Influenza,States,Nebraska,2012,Race/Ethnicity ,"Black, Non-Hispanic",50.1,41.4 to 58.8,136
Influenza,States,New Jersey,2012,Race/Ethnicity ,"Black, Non-Hispanic",33.1,25.6 to 41.3,192
Influenza,States,New Mexico,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,NY-City of New York,2012,Race/Ethnicity ,"Black, Non-Hispanic",26.5,20.1 to 33.7,308
Influenza,States,Ohio,2012,Race/Ethnicity ,"Black, Non-Hispanic",41.7,33.9 to 49.9,258
Influenza,States,Oklahoma,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,150
Influenza,States,Oregon,2012,Race/Ethnicity ,"Black, Non-Hispanic",48.8,34.9 to 62.8,57
Influenza,States,Pennsylvania,2012,Race/Ethnicity ,"Black, Non-Hispanic",56.0,43.1 to 68.3,93
Influenza,National,United States,2012,Race/Ethnicity ,"Black, Non-Hispanic",36.1,33.8 to 38.5,4981
Influenza,States,Rhode Island,2012,Race/Ethnicity ,"Black, Non-Hispanic",56.5,43.4 to 68.9,75
Influenza,States,Tennessee,2012,Race/Ethnicity ,"Black, Non-Hispanic",29.2,20.3 to 39.4,152
Influenza,States,Utah,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Washington,2012,Race/Ethnicity ,"Black, Non-Hispanic",63.4,55.0 to 71.3,144
Influenza,States,West Virginia,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,43
Influenza,States,Wisconsin,2012,Race/Ethnicity ,"Black, Non-Hispanic",51.7,47.2 to 56.2,639
Influenza,States,Wyoming,2012,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,
Influenza,States,Alabama,2020,Race/Ethnicity ,"Black, Non-Hispanic",42.9,35.1 to 50.9,164
Influenza,States,Alaska,2020,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,31
Influenza,States,Arizona,2020,Race/Ethnicity ,"Black, Non-Hispanic",NR*,NR*,37
